model,seed,regime,k,zmid_m,sigma_T,sigma_S,rmse_T,rmse_S,floor_T,floor_S,n
A_CRPS,44,lc,10,56.329999450272794,0.8895883186151827,0.1703833924078714,0.8895883186151827,0.1703833924078714,False,False,240
A_CRPS,44,lc,11,64.3299994502728,0.9542876499735384,0.1479080383948296,0.9542876499735384,0.1479080383948296,False,False,240
A_CRPS,44,lc,12,72.3299994502728,1.0200192141540494,0.13940263448663354,1.0200192141540494,0.13940263448663354,False,False,240
A_CRPS,44,lc,13,80.3299994502728,1.0558922000123434,0.13301566016946728,1.0558922000123434,0.13301566016946728,False,False,240
A_CRPS,44,lc,14,88.3299994502728,1.0626333956770297,0.13999612987071977,1.0626333956770297,0.13999612987071977,False,False,240
A_CRPS,44,lc,15,96.3299994502728,1.07350335393409,0.14596771168503014,1.07350335393409,0.14596771168503014,False,False,240
A_CRPS,44,lc,16,104.3299994502728,1.1043157493554074,0.15522380341747638,1.1043157493554074,0.15522380341747638,False,False,240
A_CRPS,44,lc,17,112.41128312438389,1.1479317927404753,0.1624117412012429,1.1479317927404753,0.1624117412012429,False,False,240
A_CRPS,44,lc,18,124.0181019371289,1.13527364029455,0.17033031178539762,1.13527364029455,0.17033031178539762,False,False,240
A_CRPS,44,lc,19,138.33536150362164,1.1211860342328392,0.1744765262040138,1.1211860342328392,0.1744765262040138,False,False,240
A_CRPS,44,lc,20,157.18840503599694,1.1345618144862128,0.1617826399574897,1.1345618144862128,0.1617826399574897,False,False,240
A_CRPS,44,lc,21,198.628367477501,1.0697373126187433,0.13295897446586968,1.0697373126187433,0.13295897446586968,False,False,240
A_CRPS,44,lc,22,256.89684052475667,0.9226085788312867,0.13525250856099044,0.9226085788312867,0.13525250856099044,False,False,240
A_CRPS,44,lc,23,323.7307751056255,0.8236445498859666,0.1287602090321534,0.8236445498859666,0.1287602090321534,False,False,240
A_CRPS,44,lc,24,420.3034332854247,0.7338842941952717,0.11179429814289579,0.7338842941952717,0.11179429814289579,False,False,240
A_CRPS,44,lc,25,527.207848736849,0.6493952807099892,0.09135454669476466,0.6493952807099892,0.09135454669476466,False,False,240
A_CRPS,44,lc,26,625.15220607476,0.5314537222824489,0.06385392209448452,0.5314537222824489,0.06385392209448452,False,False,240
A_CRPS,44,lc,27,741.9911521140331,0.39889813840041694,0.034488916964197355,0.39889813840041694,0.034488916964197355,False,False,240
A_CRPS,44,lc,28,861.7602376512325,0.2888728331677226,0.02,0.2888728331677226,0.012190052011317848,False,True,240
A_CRPS,44,lc,29,962.4660312625703,0.2432844179652649,0.02,0.2432844179652649,0.007573916806571454,False,True,240
A_CRPS,44,lc,30,1061.8371484711388,0.22516105748740722,0.02,0.22516105748740722,0.007897259684334319,False,True,240
A_CRPS,44,lc,31,1192.2491621086228,0.18562406462564182,0.02,0.18562406462564182,0.00719306032615183,False,True,240
A_CRPS,44,lc,32,1963.265144121478,0.05460129822881091,0.02,0.05460129822881091,0.0038846817628805136,False,True,240
A_CRPS,44,lc,33,2791.480209178727,,,,,False,False,0
A_CRPS,44,lc,34,2927.8273667435824,,,,,False,False,0
A_CRPS,44,lc,35,2927.827385917402,,,,,False,False,0
A_CRPS,44,lc,36,2927.827385917402,,,,,False,False,0
A_CRPS,44,lc,37,2927.827385917402,,,,,False,False,0
A_CRPS,44,lc,38,2927.8273859174024,,,,,False,False,0
A_CRPS,44,lc,39,2927.8273859174024,,,,,False,False,0
A_CRPS,44,lc,40,2927.8273859174024,,,,,False,False,0
A_CRPS,44,complement,0,0.5,1.2704471694011494,0.6145801673268197,1.2704471694011494,0.6145801673268197,False,False,383
A_CRPS,44,complement,1,1.900000039835305,1.2700366360985027,0.6138562780124539,1.2700366360985027,0.6138562780124539,False,False,383
A_CRPS,44,complement,2,4.420000051785896,1.2605701809018395,0.5243614687293274,1.2605701809018395,0.5243614687293274,False,False,383
A_CRPS,44,complement,3,8.379999928296451,1.2662192474105793,0.4216660588982447,1.2662192474105793,0.4216660588982447,False,False,383
A_CRPS,44,complement,4,13.184999737086988,1.2781873920373124,0.3431914953948895,1.2781873920373124,0.3431914953948895,False,False,383
