lon,lat,date,analysis_date,n_z_valid_T,dataset
-88.491730,28.550720,2025-01-02,20250102,36,qcobs_profile_orig
-85.333832,25.801559,2025-01-02,20250102,40,qcobs_profile_orig
-85.814049,26.115049,2025-01-02,20250102,41,qcobs_profile_orig
-85.959229,24.602091,2025-01-02,20250102,41,qcobs_profile_orig
-85.390923,24.138710,2025-01-02,20250102,41,qcobs_profile_orig
-87.202148,27.906240,2025-01-02,20250102,41,qcobs_profile_orig
-94.225967,25.851070,2025-01-02,20250102,41,qcobs_profile_orig
-95.655434,20.302610,2025-01-03,20250102,41,qcobs_profile_orig
-89.230293,28.104231,2025-01-03,20250102,31,qcobs_profile_orig
-89.604446,27.334000,2025-01-03,20250102,40,qcobs_profile_orig
-96.002113,20.506010,2025-01-03,20250102,38,qcobs_profile_orig
-91.723389,23.793150,2025-01-03,20250102,41,qcobs_profile_orig
-89.016319,26.045660,2025-01-03,20250102,21,qcobs_profile_orig
-87.060120,26.312790,2025-01-03,20250102,38,qcobs_profile_orig
-93.316818,26.133209,2025-01-03,20250102,41,qcobs_profile_orig
-96.827721,22.081850,2025-01-04,20250102,36,qcobs_profile_orig
-87.067101,27.313789,2025-01-04,20250102,41,qcobs_profile_orig
-93.072311,21.452570,2025-01-04,20250102,41,qcobs_profile_orig
-87.338112,26.155689,2025-01-04,20250102,41,qcobs_profile_orig
-96.882690,21.811131,2025-01-05,20250102,34,qcobs_profile_orig
-95.945038,23.209629,2025-01-05,20250102,41,qcobs_profile_orig
-82.889442,23.246090,2025-01-05,20250102,40,qcobs_profile_orig
-83.617371,23.410370,2025-01-05,20250102,26,qcobs_profile_orig
-91.418312,25.098120,2025-01-05,20250102,41,qcobs_profile_orig
-85.692711,24.061440,2025-01-05,20250102,40,qcobs_profile_orig
-81.046547,18.575035,2025-01-05,20250102,41,qcobs_profile_orig
-95.952660,21.292589,2025-01-06,20250102,41,qcobs_profile_orig
-89.501129,27.863581,2025-01-06,20250102,31,qcobs_profile_orig
-81.011497,23.601160,2025-01-06,20250102,33,qcobs_profile_orig
-91.627480,24.907471,2025-01-06,20250102,41,qcobs_profile_orig
-93.267700,24.126200,2025-01-06,20250102,40,qcobs_profile_orig
-96.189232,20.601990,2025-03-30,20250403,37,qcobs_profile_orig
-89.417892,27.674431,2025-03-30,20250403,34,qcobs_profile_orig
-88.003410,26.343611,2025-03-30,20250403,41,qcobs_profile_orig
-86.855568,27.558130,2025-03-30,20250403,41,qcobs_profile_orig
-94.223770,20.329849,2025-03-30,20250403,38,qcobs_profile_orig
-89.173073,24.691750,2025-03-30,20250403,41,qcobs_profile_orig
-86.873627,27.521690,2025-03-30,20250403,38,qcobs_profile_orig
-82.159660,18.144581,2025-03-30,20250403,41,qcobs_profile_orig
-92.459999,24.665199,2025-03-30,20250403,40,qcobs_profile_orig
-93.465912,24.040649,2025-03-31,20250403,41,qcobs_profile_orig
-85.390007,19.714649,2025-03-31,20250403,41,qcobs_profile_orig
-95.113861,19.320589,2025-04-01,20250403,40,qcobs_profile_orig
-89.362167,28.120621,2025-04-01,20250403,32,qcobs_profile_orig
-84.490570,23.866730,2025-04-01,20250403,41,qcobs_profile_orig
-91.613564,26.723640,2025-04-01,20250403,41,qcobs_profile_orig
-80.583488,23.751329,2025-04-01,20250403,31,qcobs_profile_orig
-83.877792,23.994810,2025-04-01,20250403,40,qcobs_profile_orig
-89.521027,27.329439,2025-04-02,20250403,41,qcobs_profile_orig
-84.752151,25.399281,2025-04-02,20250403,40,qcobs_profile_orig
-87.054321,26.124020,2025-04-02,20250403,41,qcobs_profile_orig
-87.795303,25.239700,2025-04-02,20250403,41,qcobs_profile_orig
-88.692719,25.854740,2025-04-02,20250403,41,qcobs_profile_orig
-96.170120,24.773581,2025-04-02,20250403,34,qcobs_profile_orig
-95.513771,19.736271,2025-04-03,20250403,41,qcobs_profile_orig
-87.428032,27.386209,2025-04-03,20250403,41,qcobs_profile_orig
-90.256622,25.421490,2025-04-03,20250403,41,qcobs_profile_orig
-85.104141,23.942511,2025-04-03,20250403,41,qcobs_profile_orig
-96.269890,23.005630,2025-04-03,20250403,41,qcobs_profile_orig
